Chemical,Dosage,Start Time,End Time,Start Time UTC,End Time UTC,Start Time UTC Plus,End Time UTC Plus,Room,Weather
Cis-Beta Ocimene 70%,200 mic,02/05/2023 15:40:00,02/05/2023 15:55:00,02/05/2023 20:40:00,02/05/2023 20:55:00,02/05/2023 20:35:00,02/05/2023 21:05:00,Devin,Sunny
Cis-Beta Ocimene 70%,200 mic,02/06/2023 12:38:00,02/06/2023 12:53:00,02/06/2023 17:38:00,02/06/2023 17:53:00,02/06/2023 17:33:00,02/06/2023 18:03:00,Devin,Sunny
Cis-Beta Ocimene 70%,200 mic,02/06/2023 13:50:00,02/06/2023 14:05:00,02/06/2023 18:50:00,02/06/2023 19:05:00,02/06/2023 18:45:00,02/06/2023 19:15:00,Devin,Sunny
Cis-Beta Ocimene 70%,200 mic,02/15/2023 11:58:00,02/15/2023 12:13:00,02/15/2023 16:58:00,02/15/2023 17:13:00,02/15/2023 16:53:00,02/15/2023 17:23:00,Devin,Sunny
Cis-Beta Ocimene 70%,200 mic,02/15/2023 13:00:00,02/15/2023 13:15:00,02/15/2023 18:00:00,02/15/2023 18:15:00,02/15/2023 17:55:00,02/15/2023 18:25:00,Devin,Sunny
Cis-Beta Ocimene 70%,200 mic,02/15/2023 14:27:00,02/15/2023 14:42:00,02/15/2023 19:27:00,02/15/2023 19:42:00,02/15/2023 19:22:00,02/15/2023 19:52:00,Devin,Sunny
Cis-Beta Ocimene 70%,200 mic,03/16/2023 13:03:00,03/16/2023 13:18:00,03/16/2023 18:03:00,03/16/2023 18:18:00,03/16/2023 17:58:00,03/16/2023 18:28:00,Devin,Sunny
Cis-Beta Ocimene 70%,200 mic,03/19/2023 12:48:00,03/19/2023 13:03:00,03/19/2023 17:48:00,03/19/2023 18:03:00,03/19/2023 17:43:00,03/19/2023 18:13:00,Devin,Sunny
Cis-Beta Ocimene 70%,200 mic,03/19/2023 13:30:00,03/19/2023 13:45:00,03/19/2023 18:30:00,03/19/2023 18:45:00,03/19/2023 18:25:00,03/19/2023 18:55:00,Devin,Sunny
Cis-Beta Ocimene 70%,200 mic,03/19/2023 14:23:00,03/19/2023 14:38:00,03/19/2023 19:23:00,03/19/2023 19:38:00,03/19/2023 19:18:00,03/19/2023 19:48:00,Devin,Sunny
Citral,200 mic,01/27/2023 16:18:17,01/27/2023 16:33:17,01/27/2023 21:18:17,01/27/2023 21:33:17,01/27/2023 21:13:17,01/27/2023 21:43:17,Devin,Sunny
Citral,200 mic,01/27/2023 16:50:38,01/27/2023 17:05:38,01/27/2023 21:50:38,01/27/2023 22:05:38,01/27/2023 21:45:38,01/27/2023 22:15:38,Devin,Sunny
