Chemical,Dosage,Start Time,End Time,Start Time UTC,End Time UTC,Start Time UTC Plus,End Time UTC Plus,Room,Weather
Citral,200 mic,06/01/2023 15:30:00,06/01/2023 15:45:00,06/01/2023 20:30:00,06/01/2023 20:45:00,06/01/2023 20:25:00,06/01/2023 20:50:00,Devin,Sunny
Citral,200 mic,06/01/2023 16:07:00,06/01/2023 16:22:00,06/01/2023 21:07:00,06/01/2023 21:22:00,06/01/2023 21:02:00,06/01/2023 21:27:00,Devin,Sunny
Citral,200 mic,06/02/2023 11:12:00,06/02/2023 11:27:00,06/02/2023 16:12:00,06/02/2023 16:27:00,06/02/2023 16:07:00,06/02/2023 16:32:00,Devin,Cloudy
Citral,200 mic,06/02/2023 11:52:00,06/02/2023 12:07:00,06/02/2023 16:52:00,06/02/2023 17:07:00,06/02/2023 16:47:00,06/02/2023 17:12:00,Devin,Cloudy
Citral,200 mic,06/02/2023 12:31:00,06/02/2023 12:46:00,06/02/2023 17:31:00,06/02/2023 17:46:00,06/02/2023 17:26:00,06/02/2023 17:51:00,Devin,Cloudy
Citral,200 mic,06/06/2023 15:10:00,06/06/2023 15:25:00,06/06/2023 20:10:00,06/06/2023 20:25:00,06/06/2023 20:05:00,06/06/2023 20:30:00,Devin,Cloudy
Citral,200 mic,06/06/2023 15:45:00,06/06/2023 16:00:00,06/06/2023 20:45:00,06/06/2023 21:00:00,06/06/2023 20:40:00,06/06/2023 21:05:00,Devin,Cloudy
Citral,200 mic,06/06/2023 16:20:00,06/06/2023 16:35:00,06/06/2023 21:20:00,06/06/2023 21:35:00,06/06/2023 21:15:00,06/06/2023 21:40:00,Devin,Cloudy
Citral,200 mic,06/06/2023 16:55:00,06/06/2023 17:10:00,06/06/2023 21:55:00,06/06/2023 22:10:00,06/06/2023 21:50:00,06/06/2023 22:15:00,Devin,Cloudy
Citral,200 mic,06/07/2023 08:53:00,06/07/2023 09:08:00,06/07/2023 13:53:00,06/07/2023 14:08:00,06/07/2023 13:48:00,06/07/2023 14:13:00,Devin,Cloudy
