Timestamp,Gas Sensor (PPM),HCHO Sensor (PPM),EC Sense (PPB),PM 1.0 (ug/m3),PM 2.5 (ug/m3),PM 4.0 (ug/m3),PM 10.0 (ug/m3),VOC Index (0-500)
2023-01-23 19:58:01.599510,0.19,0.94,376.0,0.7,0.0,0.0,0.0,186.0
2023-01-23 19:58:06.624423,0.19,0.68,383.0,0.7,0.0,0.0,0.0,186.0
2023-01-23 19:58:11.647768,0.23,0.53,381.0,0.7,0.0,0.0,0.0,186.0
2023-01-23 19:58:16.670353,0.22,0.68,381.0,0.6,0.7,0.0,0.0,186.0
2023-01-23 19:58:21.695108,0.21,0.68,383.0,0.6,0.7,0.0,0.0,187.0
2023-01-23 19:58:26.720333,0.2,0.6,385.0,0.6,0.7,0.0,0.0,187.0
2023-01-23 19:58:31.743667,0.21,0.85,387.0,0.5,0.6,0.0,0.0,187.0
2023-01-23 19:58:36.767563,0.21,0.68,388.0,0.5,0.6,0.0,0.0,187.0
2023-01-23 19:58:41.791745,0.21,0.68,390.0,0.5,0.6,0.0,0.0,187.0
2023-01-23 19:58:46.816868,0.23,0.85,393.0,0.5,0.6,0.0,0.0,187.0
2023-01-23 19:58:51.840713,0.21,0.85,394.0,0.6,0.6,0.0,0.0,188.0
2023-01-23 19:58:56.864419,0.21,0.76,397.0,0.6,0.6,0.0,0.0,188.0
2023-01-23 19:59:01.888332,0.2,0.76,399.0,0.6,0.6,0.0,0.0,188.0
2023-01-23 19:59:06.912309,0.21,1.04,399.0,0.6,0.6,0.0,0.0,188.0
2023-01-23 19:59:11.938565,0.22,0.53,399.0,0.6,0.7,0.0,0.0,189.0
2023-01-23 19:59:16.962349,0.19,0.6,399.0,0.7,0.7,0.0,0.0,189.0
2023-01-23 19:59:21.986702,0.22,0.68,398.0,0.6,0.7,0.0,0.0,189.0
2023-01-23 19:59:27.010344,0.2,0.6,398.0,0.6,0.7,0.0,0.0,189.0
2023-01-23 19:59:32.034131,0.22,0.6,397.0,0.5,0.7,0.0,0.0,189.0
2023-01-23 19:59:37.061624,0.21,0.85,397.0,0.5,0.7,0.0,0.0,190.0
2023-01-23 19:59:42.083467,0.21,0.68,395.0,0.5,0.7,0.0,0.0,190.0
2023-01-23 19:59:47.107209,0.21,0.85,395.0,0.5,0.7,0.0,0.0,190.0
2023-01-23 19:59:52.130105,0.19,0.76,394.0,0.5,0.6,0.0,0.0,190.0
2023-01-23 19:59:57.154706,0.21,0.68,395.0,0.5,0.6,0.0,0.0,191.0
2023-01-23 20:00:02.177546,0.21,0.68,394.0,0.6,0.6,0.0,0.0,191.0
2023-01-23 20:00:07.205754,0.23,0.76,393.0,0.6,0.7,0.0,0.0,191.0
2023-01-23 20:00:12.230812,0.2,0.46,393.0,0.7,0.7,0.0,0.0,191.0
2023-01-23 20:00:17.252927,0.21,0.53,393.0,0.6,0.7,0.0,0.0,190.0
2023-01-23 20:00:22.276319,0.22,0.76,393.0,0.6,0.7,0.0,0.0,190.0
2023-01-23 20:00:27.301147,0.19,0.85,392.0,0.5,0.7,0.0,0.0,190.0
2023-01-23 20:00:32.324132,0.19,0.53,392.0,0.5,0.7,0.0,0.0,190.0
2023-01-23 20:00:37.348069,0.21,0.85,392.0,0.6,0.7,0.0,0.0,190.0
2023-01-23 20:00:42.373241,0.23,0.24,393.0,0.7,0.7,0.0,0.0,190.0
2023-01-23 20:00:47.400738,0.22,0.85,393.0,0.7,0.7,0.0,0.0,190.0
2023-01-23 20:00:52.424527,0.2,0.68,393.0,0.6,0.7,0.0,0.0,190.0
2023-01-23 20:00:57.449794,0.21,0.76,394.0,0.6,0.7,0.0,0.0,190.0
2023-01-23 20:01:02.472111,0.2,0.85,394.0,0.6,0.7,0.0,0.0,190.0
2023-01-23 20:01:07.496270,0.19,0.53,394.0,0.6,0.7,0.0,0.0,190.0
2023-01-23 20:01:12.519883,0.22,0.85,394.0,0.5,0.6,0.0,0.0,190.0
2023-01-23 20:01:17.543367,0.22,0.94,394.0,0.6,0.6,0.0,0.0,190.0
2023-01-23 20:01:22.568845,0.21,0.94,394.0,0.6,0.6,0.0,0.0,190.0
2023-01-23 20:01:27.592619,0.21,0.68,395.0,0.7,0.6,0.0,0.0,190.0
2023-01-23 20:01:32.615091,0.21,0.76,395.0,0.8,0.6,0.0,0.0,190.0
2023-01-23 20:01:37.639044,0.21,0.68,395.0,0.8,0.6,0.0,0.0,190.0
2023-01-23 20:01:42.663698,0.19,0.6,395.0,0.8,0.6,0.0,0.0,190.0
2023-01-23 20:01:47.690383,0.21,0.85,397.0,0.7,0.6,0.0,0.0,190.0
2023-01-23 20:01:52.714660,0.21,0.46,399.0,0.7,0.6,0.0,0.0,190.0
2023-01-23 20:01:57.738951,0.21,0.76,401.0,0.6,0.7,0.0,0.0,190.0
2023-01-23 20:02:02.762240,0.24,0.76,402.0,0.6,0.7,0.0,0.0,190.0
2023-01-23 20:02:07.784030,0.19,0.53,403.0,0.8,0.7,0.0,0.0,189.0
2023-01-23 20:02:12.807853,0.21,0.85,403.0,0.9,0.7,0.0,0.0,190.0
2023-01-23 20:02:17.834105,0.23,0.94,403.0,0.9,0.7,0.0,0.0,190.0
